time,D_u,D_v,D_w,D_q,D_r,desired_x,x,desired_y,y,desired_z,z,l_error,beta_error,alpha_error,tau_{u},tau_{q},tau_{r}
0.1,4.003013535057585,2.45954148194105,2.2553115533120027,3.0527900485472843,3.8191158182790064,0.14999994375000633,-3.0,99.99988750002109,103.0,-5.025,0.0,5.646337311493809,-0.8572651978440673,-0.7610313319685953,100.0,50.0,-50.0
0.2,2.291377751857854,1.5053162933701136,1.6366850731786524,1.7796214895181186,2.0101961797655847,0.2999995500002025,-2.95272590293861,99.9995500003375,103.00192151678277,-5.05,0.0008575329100045638,5.716071724803986,-0.8316071440810843,-0.6929181181017133,100.0,50.0,-50.0
0.3,0.5478082221929943,0.5343411825095378,1.005987449275153,0.4940596463469994,0.17601432368681824,0.44999848125153774,-2.8612078961514547,99.9989875017086,103.0028686737355,-5.075,0.0004007348951422872,5.763658949798264,-0.811138453574911,-0.6117656433224368,100.0,50.0,-49.999722838401794
0.4,-1.2032846890266233,-0.44335915661096903,0.36733581523313913,-0.7886072485165448,-1.6560322870743955,0.59999640000648,-2.729553029858984,99.9982000054,103.00050969232282,-5.1,-0.0031845689862311927,5.788025515562544,-0.7911917886129416,-0.5202011161315768,100.0,50.0,-49.984097480773926
0.5,-2.9373115693133705,-1.4176870856107704,-0.2750935425392082,-2.053190161302235,-3.4586191223267866,0.7499929687697754,-2.5635343352293174,99.99718751318358,102.98848968463861,-5.125,-0.011227199636164096,5.788079561189606,-0.7743153310624882,-0.4252235288490833,100.0,50.0,-49.7126966714859
0.6,-4.6299113970067225,-2.378586169861147,-0.9170946878034711,-3.2848037549537286,-5.204962810121808,0.8999878500492074,-2.371126101584041,99.99595002733741,102.95846471752034,-5.15,-0.024684490079916944,5.76354484352301,-0.7601807971390678,-0.32924744823514146,100.0,50.0,-49.97466206550598
0.7,-6.257356071530725,-3.3161547129673514,-1.5544617557288252,-4.469066148349288,-6.86927895516653,1.0499807063563564,-2.161440335552614,99.9944875506459,102.90447361303586,-5.175,-0.04394465868796333,5.7163213820756305,-0.7495680515948107,-0.2327675065142324,99.9940037727356,50.0,-49.988073110580444
0.8,-7.796944473568151,-4.22075731506839,-2.183018673368765,-5.5922910380528075,-8.427221014259304,1.1999712002073595,-1.9433193385904766,99.99280008639958,102.82388990046476,-5.2,-0.06907839895584855,5.649939956319989,-0.7425811178971061,-0.13525058163508624,84.23842787742615,50.0,-47.89823889732361
0.9,-9.227378679668517,-5.083133118765026,-2.798648660394182,-6.641669400503073,-9.856292068647772,1.3499589941236678,-1.7308758705646337,99.99088763839525,102.71974136326965,-5.225,-0.09887026372271346,5.573841509223211,-0.7387148748347451,-0.03684304630011947,35.05130708217621,50.0,50.0
1.0,-10.52911529100597,-5.894499449558559,-3.397323292824936,-7.605438151338628,-11.136221869140766,1.499943750632809,-1.546732597507099,99.98875021093592,102.6057228640811,-5.25,-0.12966636438224088,5.507580132250653,-0.7354802447097801,0.021903637710489945,100.0,50.0,50.0
1.1,-11.68468531327372,-6.646649616881359,-3.975130915867606,-8.473033337116044,-12.249302214983626,1.6499251322691442,-1.3647306475983128,99.98638780883078,102.46573234984427,-5.275,-0.16684642797145957,5.428727069923686,-0.734817070849453,0.04502616308332517,99.96387958526611,49.999961256980896,49.8379111289978
1.2,-12.678976634374251,-7.332043716343889,-4.528304196946954,-9.235225669935259,-13.180674547953162,1.7999028015746277,-1.181916134770093,99.98380043739527,102.3104986150143,-5.3,-0.20964525622037083,5.3416464736217675,-0.7357145041185688,0.04466757955642021,99.99792575836182,49.999988079071045,49.64606165885925
1.3,-13.499473876175275,-7.943891362733941,-5.05324661657392,-9.884236483788184,-13.918564582127475,1.9498764210995674,-0.9954632068050262,99.98098810245097,102.14814324083102,-5.325,-0.2574630653350241,5.249121338372775,-0.7377812566537559,0.027801118226234395,99.99997019767761,49.99999701976776,28.53165864944458
1.4,-14.136451231156377,-8.476225385420047,-5.546557702772644,-10.413832488632881,-14.454459828233032,2.0998456534033814,-0.8031335128770228,99.9779508103256,101.98498936169005,-5.35,-0.3097223158076533,5.153039161283518,-0.7409797374202218,0.013268757211710582,99.99845027923584,50.0,49.9691903591156
1.5,-14.583114817066809,-8.92396563180193,-6.005056824330699,-10.819398019651569,-14.783226988269943,2.2498101610553616,-0.6062880473683372,99.97468856785308,101.82224617497567,-5.375,-0.36589803844528457,5.054904503710107,-0.7450791489907571,-0.010046305446887357,66.7813777923584,49.99995827674866,4.887887090444565
1.6,-14.835692073700393,-9.282972148835483,-6.425805369066102,-11.097983819886673,-14.903167368619734,2.399769606635429,-0.4161353416316317,99.97120138237345,101.67136976000407,-5.4,-0.4220843053369494,4.966534827950204,-0.748158688456969,-0.012031615106786384,99.70726370811462,50.0,50.0
1.7,-14.893466765081914,-9.550087145825472,-6.806127145537851,-11.248331749176748,-14.816009664320099,2.549723652734893,-0.2124309773357887,99.96748926173291,101.5324470140284,-5.425,-0.48238779059167863,4.874351574385287,-0.7522595591251742,-0.026932494117516078,99.99996423721313,49.99999701976776,43.14092397689819
