step,EvalAverageReward
1000,-239.20078995581554
2000,-229.03575506250408
3000,-231.10931816074464
4000,-252.22000459108622
5000,-241.93276142474264
6000,-235.69051188394633
7000,-236.20752118114083
8000,-222.18290407893483
9000,-234.23029689467808
10000,-249.26296211244917
11000,-244.8888989504669
12000,-247.37628325414866
13000,-238.58577840382978
14000,-240.74902846038384
15000,-243.3859968510306
16000,-236.7030050106094
17000,-240.74153120404497
18000,-233.63882029916422
19000,-239.18626617488425
20000,-234.93226330544402
21000,-251.29176889840264
22000,-243.19579987569423
23000,-244.6467699543376
24000,-228.76609557557035
25000,-250.37533889268883
26000,-237.0824741023183
27000,-249.60768770645274
28000,-237.67586655699947
29000,-237.34557865147139
30000,-229.0196969612958
31000,-228.8638524472437
32000,-233.1802475406489
33000,-240.93135875725093
34000,-236.32809008332865
35000,-245.1522016282971
36000,-231.98510679382875
37000,-228.73385524671872
38000,-236.9593498891632
39000,-233.2078890947088
40000,-237.15823637101508
41000,-236.01030198426943
42000,-229.79363908467582
43000,-232.97748222749306
44000,-236.4424142759793
45000,-242.53995679435647
46000,-234.19761426127366
47000,-231.07066520348098
48000,-237.10372334831482
49000,-231.92457297080676
50000,-238.78444881753254
51000,-235.57540185874814
52000,-241.13347974766788
53000,-244.23229789049805
54000,-240.73908268982103
55000,-238.29953367974477
56000,-240.6682488825073
57000,-225.27671146946165
58000,-244.48265674576456
59000,-237.46152695804372
60000,-233.90611336485608
61000,-230.87611392373196
62000,-229.42739785372137
63000,-239.1674194130258
64000,-233.9299467511034
65000,-237.2222540716068
66000,-227.88121733647102
67000,-249.10801278416642
68000,-234.4746635708012
69000,-232.35729809234627
70000,-246.75666761459394
71000,-238.30948626056866
72000,-239.49198662139844
73000,-231.1934515980115
74000,-230.6122214899627
75000,-236.44991328474265
76000,-238.403619515649
77000,-232.66526566192837
78000,-231.20514824569304
79000,-239.56893747211652
80000,-245.18675313555758
81000,-247.8871860301196
82000,-233.33863022504676
83000,-253.93039357564135
84000,-241.3333416042903
85000,-244.49871671124873
86000,-240.6353457499784
87000,-237.49688904772862
88000,-231.99127237704755
89000,-233.4862029114676
90000,-247.83640166276868
91000,-232.5402950439806
92000,-232.7075371892537
93000,-242.5949293220233
94000,-234.76674683967013
95000,-238.68289986481477
96000,-241.1272249524199
97000,-242.39500781683006
98000,-238.50316958779567
99000,-241.7528635794738
100000,-246.9307952033276
