time,D_u,D_v,D_w,D_q,D_r,desired_x,x,desired_y,y,desired_z,z,l_error,beta_error,alpha_error,tau_{u},tau_{q},tau_{r}
0.1,4.003013535057585,2.45954148194105,2.2553115533120027,3.0527900485472843,3.8191158182790064,0.14999994375000633,-3.0,99.99988750002109,103.0,-5.025,0.0,5.646337311493809,-0.8572651978440673,-0.7610313319685953,97.45374917984009,50.0,-50.0
0.2,2.291377751857854,1.5053162933701136,1.6366850731786524,1.7796214895181186,2.0101961797655847,0.2999995500002025,-2.955888364037001,99.9995500003375,103.00192151678277,-5.05,0.0008575329100045638,5.717603936619746,-0.8277239656670794,-0.675645183185137,99.99581575393677,50.0,-50.0
0.3,0.5478082221929943,0.5343411825095378,1.005987449275153,0.4940596463469994,0.17601432368681824,0.44999848125153774,-2.868675921542249,99.9989875017086,103.00283638874389,-5.075,0.0002771887736046176,5.767211129467407,-0.8103020371034512,-0.5802507285459484,99.99968409538269,50.0,-50.0
0.4,-1.2032846890266233,-0.44335915661096903,0.36733581523313913,-0.7886072485165448,-1.6560322870743955,0.59999640000648,-2.741181700374907,99.9982000054,102.99951077924835,-5.1,-0.0033652480650644585,5.793160034499209,-0.7870522908403982,-0.475593451053437,99.99903440475464,50.0,-50.0
0.5,-2.9373115693133705,-1.4176870856107704,-0.2750935425392082,-2.053190161302235,-3.4586191223267866,0.7499929687697754,-2.5783492091550837,99.99718751318358,102.98299629795717,-5.125,-0.01128098149771818,5.792866696231917,-0.7720988317166928,-0.37726973134642083,100.0,50.0,-49.99999701976776
0.6,-4.6299113970067225,-2.378586169861147,-0.9170946878034711,-3.2848037549537286,-5.204962810121808,0.8999878500492074,-2.3876694877228797,99.99595002733741,102.94438032676055,-5.15,-0.024843749526574983,5.7652907249378345,-0.7575126317049686,-0.2809998163716437,-97.62282371520996,50.0,-49.99999701976776
0.7,-6.257356071530725,-3.3161547129673514,-1.5544617557288252,-4.469066148349288,-6.86927895516653,1.0499807063563564,-2.2462610729307215,99.9944875506459,102.90996362577633,-5.175,-0.03628255852900439,5.765473195235776,-0.7415101083834515,-0.18272320744078466,99.99940395355225,50.0,49.380406737327576
0.8,-7.796944473568151,-4.22075731506839,-2.183018673368765,-5.5922910380528075,-8.427221014259304,1.1999712002073595,-2.086807322779037,99.99280008639958,102.83874088906695,-5.2,-0.05530534931485069,5.735738649935881,-0.7303353317794785,-0.12789125069744595,99.99999403953552,50.0,29.488301277160645
0.9,-9.227378679668517,-5.083133118765026,-2.798648660394182,-6.641669400503073,-9.856292068647772,1.3499589941236678,-1.9120575740800074,99.99088763839525,102.73860453474165,-5.225,-0.08124445857267582,5.681984832642701,-0.7243210171530489,-0.11007363849229919,99.99999403953552,49.999988079071045,-50.0
1.0,-10.52911529100597,-5.894499449558559,-3.397323292824936,-7.605438151338628,-11.136221869140766,1.499943750632809,-1.7231831444608021,99.98875021093592,102.61753906121089,-5.25,-0.11404648709143866,5.608864977283436,-0.7206429964445721,-0.04850180049793387,100.0,50.0,47.52650558948517
1.1,-11.68468531327372,-6.646649616881359,-3.975130915867606,-8.473033337116044,-12.249302214983626,1.6499251322691442,-1.5210456640719228,99.98638780883078,102.48262981943903,-5.275,-0.15342447043442572,5.52049199614709,-0.7204894653707619,-0.029431128261768847,99.95739459991455,50.0,-48.09097647666931
1.2,-12.678976634374251,-7.332043716343889,-4.528304196946954,-9.235225669935259,-13.180674547953162,1.7999028015746277,-1.313442361345793,99.98380043739527,102.33110573248217,-5.3,-0.19899397056805718,5.420515770880405,-0.722752968555399,0.03310809414879339,100.0,49.99999403953552,49.99946653842926
1.3,-13.499473876175275,-7.943891362733941,-5.05324661657392,-9.884236483788184,-13.918564582127475,1.9498764210995674,-1.1007673774688786,99.98098810245097,102.16853815141599,-5.325,-0.2502657721094245,5.312268236236095,-0.7271181892854071,0.05549645675332844,99.9352753162384,50.0,49.420711398124695
1.4,-14.136451231156377,-8.476225385420047,-5.546557702772644,-10.413832488632881,-14.454459828233032,2.0998456534033814,-0.8888931735490955,99.9779508103256,101.99323828316592,-5.35,-0.3067083812724889,5.199091362889208,-0.7325019365751444,0.04812222127036057,99.99805688858032,50.0,-49.996840953826904
1.5,-14.583114817066809,-8.92396563180193,-6.005056824330699,-10.819398019651569,-14.783226988269943,2.2498101610553616,-0.6720359781460838,99.97468856785308,101.81559934910659,-5.375,-0.36782590633992135,5.082592356053662,-0.7397933144663228,0.0819445612911205,100.0,49.999988079071045,49.99984800815582
1.6,-14.835692073700393,-9.282972148835483,-6.425805369066102,-11.097983819886673,-14.903167368619734,2.399769606635429,-0.4493530834195698,99.97120138237345,101.63979058270665,-5.4,-0.4331689480154497,4.964151299339479,-0.747529476811549,0.08593435353073524,97.95618057250977,50.0,47.124919295310974
1.7,-14.893466765081914,-9.550087145825472,-6.806127145537851,-11.248331749176748,-14.816009664320099,2.549723652734893,-0.22662611795555082,99.96748926173291,101.46162140855598,-5.425,-0.5021059241646659,4.845975966703732,-0.7553530747250378,0.0729982776730392,99.99988079071045,50.0,-49.99983608722687
1.8,-14.758759216261137,-9.723165281904182,-7.143626860068913,-11.270875175530229,-14.52684067933371,2.699671961957215,0.0011054187021945772,99.9635522142837,101.28688500546072,-5.45,-0.5745063099005995,4.727469754331208,-0.764904512649065,0.09908453988708156,100.0,49.99999403953552,49.999916553497314
1.9,-14.436852484494613,-9.8010919670894,-7.436206535498172,-11.167715171148705,-14.043975743044557,2.8496141969187607,0.23479565696890592,99.95939024888416,101.11897871998498,-5.475,-0.6501525774413993,4.609017210719343,-0.7743169553046111,0.10151843083966607,27.357986569404602,50.0,49.16015267372131
2.0,-13.935866217758806,-9.78378951466836,-7.6820797536191465,-10.942572998573088,-13.378771737910084,2.999550020249566,0.44370906557883083,99.95500337489875,100.9669690810786,-5.5,-0.7205488798788646,4.513578745758826,-0.7794141696252884,0.08873380377625353,100.0,50.0,49.21846389770508
2.1,-13.266580967577438,-9.672211132975024,-7.8797836196782605,-10.600719727256106,-12.545386744119554,3.149479094594091,0.6634151841726285,99.95039160219791,100.81522844148397,-5.525,-0.7957755049593709,4.412395112127221,-0.7854778590105146,0.06996899991284021,98.54539036750793,50.0,31.626200675964355
2.2,-12.442216677221523,-9.468322894492477,-8.028188364468287,-10.14888416178273,-11.560491312590617,3.299401082611982,0.8960399319357681,99.94555494115814,100.67331342857699,-5.55,-0.8748361273347838,4.306876150134267,-0.7930003568325911,0.06177374400453017,93.54773759841919,50.0,49.999433755874634
2.3,-11.478169940918058,-9.17507396770822,-8.12650451733143,-9.595140584711942,-10.442937277841372,3.449315646978828,1.1409158204098093,99.9404934026619,100.55096276077572,-5.575,-0.9567809087972516,4.198973953661367,-0.8011541466988291,0.0420185943153918,-98.3314573764801,49.99999403953552,49.89501237869263
2.4,-10.391715406970796,-8.796355540402782,-8.174287601644876,-8.94877811465186,-9.21339079960942,3.599222450386925,1.3442174814586707,99.93520699809768,100.45121196123351,-5.6,-1.026321112124385,4.125411895767114,-0.8026382111805977,0.01566415758963213,100.0,50.0,9.010136872529984
2.5,-9.201677361940613,-8.336949000247763,-8.17144032295967,-8.220153749145599,-7.893936961550906,3.7491211555460264,1.57071443083571,99.92969573935987,100.36903859367527,-5.625,-1.1027325551520695,4.0387876363895865,-0.8070138127992517,0.011123583726473875,100.0,49.99999403953552,50.0
2.6,-7.92807807096993,-7.802464067999281,-8.118212238759385,-7.420531398134157,-6.507663744835414,3.8990114251841095,1.8147521017625334,99.9239596388488,100.30021479728319,-5.65,-1.1852455185318067,3.9416330753414472,-0.8137191724702718,-0.01424657872268809,84.39494371414185,50.0,-49.21029508113861
2.7,-6.591769850391493,-7.199267698575819,-8.015196917653888,-6.56190941359451,-5.078233524985453,4.048892922048132,2.0653023301889695,99.9179987094707,100.2367708259441,-5.675,-1.271006397704147,3.8405998540899784,-0.8214270455464092,-0.007206667091783799,100.0,50.0,49.95444416999817
2.8,-5.214058105289649,-6.534404674412463,-7.863326614582489,-5.656839281422744,-3.629450406224854,4.198765308904785,2.327984521397195,99.91181296463766,100.18276962692102,-5.7,-1.3621666350266728,3.7318111300028747,-0.8313170286095407,-0.026165884670601713,-78.72875928878784,50.0,-47.806185483932495
2.9,-3.816322672118212,-5.8155109123411,-7.663864507126054,-4.718238260364371,-2.1848317066417966,4.348628248541267,2.5443545274076804,99.9054024182676,100.13720411068685,-5.725,-1.4389627920412174,3.6560982199035257,-0.83332140657307,-0.01348109869013486,100.0,49.99999403953552,8.834625035524368
3.0,-2.419644763433099,-5.05072058867725,-7.418394556178891,-3.7591988280701627,-0.767191740818484,4.498481403766023,2.780702653843075,99.89876708478424,100.09751162399859,-5.75,-1.524539493216332,3.565608362523318,-0.8386174911648063,-0.004680361272668992,-82.02016949653625,50.0,27.938565611839294
3.1,-1.0444466200685327,-4.248568256197309,-7.128809071869737,-2.792797825144052,0.6017542811929798,4.648324437409519,2.9705321607926414,99.89190697911708,100.0712971820853,-5.775,-1.594871073685779,3.5078426779342147,-0.835742757793791,-0.013244943987329172,99.47722554206848,50.0,32.49582350254059
3.2,0.289849359383358,-3.4178871804558497,-6.7972940826139245,-1.8319081740228111,1.9017589007012061,4.798157012324992,3.185140789017656,99.88482211670137,100.04176569561399,-5.8,-1.6761134545398935,3.4309020372201244,-0.8374428523715658,-0.03595661586680725,72.52174615859985,50.0,-50.0
3.3,1.5651357131726162,-2.56770516081306,-6.4263126213963275,-0.8890159910623221,3.1143768884979304,4.947978791389211,3.4104505513183834,99.87751251347804,100.01404924419161,-5.825,-1.7626372624411895,3.345736575007229,-0.8406689108686396,-0.029696258629821004,100.0,50.0,49.64270293712616
3.4,2.764903532662365,-1.707139123219077,-6.018586058705235,0.023954191621235132,4.223259591575263,5.097789437503237,3.6556542036917725,99.86997818589369,99.99431606123956,-5.85,-1.858450049722989,3.2459021356364754,-0.8485466798098198,-0.05415435303602883,-75.04053115844727,50.0,-49.103423953056335
3.5,3.874489605628195,-0.8452897770494269,-5.577073625844865,0.8958035214378102,5.214404049679185,5.247588613593179,3.8545851626058294,99.86221915090054,99.9774377358128,-5.875,-1.9375251200333912,3.1782104263835143,-0.8470249789495145,-0.05047104526764147,100.0,49.99999701976776,5.252797901630402
3.6,4.881282895564318,0.008862382866806628,-5.104950285542008,1.7162098472485257,6.076352740440562,5.3973759826109555,4.078522903379081,99.85423542595643,99.96967257070587,-5.9,-2.028712223605492,3.091401743491933,-0.8505311608089043,-0.054044900723792325,2.7028273791074753,50.0,-49.99995827674866
3.7,5.774887047794203,0.8465584751937083,-4.605583118731063,2.475863496246916,6.8003408425364205,5.547151207535047,4.28398277370894,99.84602702902475,99.97171986787757,-5.925,-2.11408143772698,3.0167765023997335,-0.8495553723900532,-0.03522284513496523,100.0,50.0,49.95954632759094
