time,D_u,D_v,D_w,D_q,D_r,desired_x,x,desired_y,y,desired_z,z,l_error,beta_error,alpha_error,tau_{u},tau_{q},tau_{r}
0.1,13.314248543807238,2.45954148194105,2.2553115533120027,15.6127321156425,10.482531695043349,0.14999994375000633,-3.0,99.99988750002109,103.0,-5.025,0.0,5.646337311493809,-0.8572651978440673,-0.7610313319685953,-36.9096040725708,49.90984797477722,-49.48740899562836
0.2,7.040776314889074,1.5053162933701136,1.6366850731786524,9.362059766116808,5.454359731382829,0.2999995500002025,-3.0138796208992726,99.9995500003375,103.00361697276756,-5.05,0.0011109909129615777,5.746846357868851,-0.8226386931662659,-0.6656934502130605,99.16278123855591,49.997296929359436,-49.998778104782104
0.3,0.700912451266571,0.5343411825095378,1.005987449275153,3.027394052462192,0.3436622937929761,0.44999848125153774,-2.977927051397114,99.9989875017086,102.99935772579677,-5.075,0.0005735658185413071,5.820142371022427,-0.7882501280340173,-0.5356098121860985,99.98472929000854,49.99974071979523,-49.98258948326111
0.4,-5.630681114940368,-0.44335915661096903,0.36733581523313913,-3.315730687255555,-4.763661409228715,0.59999640000648,-2.891863455690678,99.9982000054,102.99296382791823,-5.1,-0.0031425791999919747,5.865832154404703,-0.7625687324735164,-0.42732056499091875,99.5812714099884,49.95731711387634,-36.11738383769989
0.5,-11.87951529943521,-1.4176870856107704,-0.2750935425392082,-9.59181999132238,-9.781873720888234,0.7499929687697754,-2.7567201765920193,99.99718751318358,102.97353573816395,-5.125,-0.012420269945410279,5.8770747659424245,-0.7363938806888597,-0.34423303559499707,98.03835153579712,49.96140003204346,15.451774001121521
0.6,-17.972264210010405,-2.378586169861147,-0.9170946878034711,-15.72644519926769,-14.626944724386995,0.8999878500492074,-2.5841691411397565,99.99595002733741,102.92461005021815,-5.15,-0.028926185280512592,5.851408357752172,-0.7317445657697976,-0.3138744379351826,96.3828980922699,49.98098611831665,47.74675965309143
0.7,-23.83773943700911,-3.3161547129673514,-1.5544617557288252,-21.64725303807324,-19.21806477398396,1.0499807063563564,-2.383544869166062,99.9944875506459,102.85272505024156,-5.175,-0.05283291308640224,5.7967061984554205,-0.7214327099194944,-0.32496469304504205,83.97675156593323,49.9212771654129,-32.28416442871094
0.8,-29.40783374647131,-4.22075731506839,-2.183018673368765,-27.284943983252333,-23.47909473129344,1.1999712002073595,-2.1671883311625444,99.99280008639958,102.77174816831543,-5.2,-0.08240221076069587,5.726821157434317,-0.7284073618048241,-0.2974406813658535,77.91783809661865,49.98809099197388,49.8549610376358
0.9,-34.61842009225846,-5.083133118765026,-2.798648660394182,-32.57420499187921,-27.339926512431788,1.3499589941236678,-1.9428068009482868,99.99088763839525,102.69120885513824,-5.225,-0.11523417604870723,5.651597404414132,-0.7318899800083931,-0.3128251398445638,92.91526079177856,49.863165616989136,0.29294006526470184
1.0,-39.41019255694248,-5.894499449558559,-3.397323292824936,-37.45458291138178,-30.737728332652495,1.499943750632809,-1.708625400857249,99.98875021093592,102.60423318610819,-5.25,-0.15303001082417816,5.566183843288932,-0.7422704268003397,-0.28704070974201834,41.74640774726868,49.999573826789856,49.97636377811432
1.1,-43.7294367468899,-6.646649616881359,-3.975130915867606,-41.871285786610905,-33.618051317688995,1.6499251322691442,-1.4959767827891464,99.98638780883078,102.52784849965363,-5.275,-0.18892741507666128,5.497988584267745,-0.7556052999304439,-0.3043488243032714,69.05856132507324,49.970972537994385,19.571411609649658
1.2,-47.52871828920537,-7.332043716343889,-4.528304196946954,-45.77590040374295,-35.935776888703536,1.7999028015746277,-1.2891148302607527,99.98380043739527,102.44989437549734,-5.3,-0.2250587472761006,5.432626054725428,-0.7707933545423296,-0.2785921940705319,37.370502948760986,49.97233748435974,49.99161660671234
1.3,-50.76747938770416,-7.943891362733941,-5.05324661657392,-49.12701570518316,-37.65588746489502,1.9498764210995674,-1.1042428510577746,99.98098810245097,102.38348297935342,-5.325,-0.2573916666717667,5.385943969541479,-0.7880915694278531,-0.29593066475417823,4.044242203235626,49.70525801181793,38.30633759498596
1.4,-53.41253486915148,-8.476225385420047,-5.546557702772644,-51.89074316418097,-38.75404650082117,2.0998456534033814,-0.9597868455542792,99.9779508103256,102.32625848360081,-5.35,-0.2827934277784703,5.3680831026774625,-0.8021670973000898,-0.29282044531112306,23.10580313205719,49.961355328559875,45.98815143108368
1.5,-55.438460763960606,-8.92396563180193,-6.005056824330699,-54.041126798181914,-39.216977614019925,2.2498101610553616,-0.8390232875822574,99.97468856785308,102.28016404315109,-5.375,-0.3033123454192651,5.370096145761835,-0.8142944972358713,-0.2998494698058384,61.40103340148926,49.891847372055054,39.40231502056122
1.6,-56.82787018920737,-9.282972148835483,-6.425805369066102,-55.56043720071242,-39.04263648702508,2.399769606635429,-0.7217607968488726,99.97120138237345,102.22999576315065,-5.4,-0.32205577059826984,5.374293820606473,-0.826635890076856,-0.29139239034059233,54.48663830757141,49.976447224617004,49.21942949295044
1.7,-57.57157310607147,-9.550087145825472,-6.806127145537851,-56.43934575577208,-38.24017326714559,2.549723652734893,-0.6084147489975967,99.96748926173291,102.19056539488092,-5.425,-0.338759265491913,5.386372246247404,-0.8383216383415293,-0.30497745622324957,67.58869886398315,49.867382645606995,34.42940711975098
1.8,-57.668618377123465,-9.723165281904182,-7.143626860068913,-56.67697703794184,-36.82968725617435,2.699671961957215,-0.49578061114778604,99.9635522142837,102.14494204636534,-5.45,-0.3541237558710537,5.398228930098572,-0.8495438911890726,-0.2874709881222516,62.18792200088501,49.97006058692932,49.90742206573486
1.9,-57.12621841891549,-9.8010919670894,-7.436206535498172,-56.28083926651331,-34.84177969891298,2.8496141969187607,-0.38331054678627785,99.95939024888416,102.10756983456606,-5.475,-0.3679847553614944,5.414677126697091,-0.8601059723233765,-0.3074061381633397,74.96124505996704,49.84843134880066,33.35822820663452
2.0,-55.95955859958163,-9.78378951466836,-7.6820797536191465,-55.26663454334659,-32.316914363774686,2.999550020249566,-0.2666655008715098,99.95500337489875,102.06348596708325,-5.5,-0.38086987897404107,5.428013368681847,-0.8702028702874758,-0.2957796838071033,43.39657723903656,49.98263120651245,49.24480617046356
2.1,-54.19149533750041,-9.672211132975024,-7.8797836196782605,-53.657952432423336,-29.30459928345922,3.149479094594091,-0.16014243194751734,99.95039160219791,102.03097168737662,-5.525,-0.39186428584250604,5.452246926439581,-0.8775431700737348,-0.32697307880774495,78.77101302146912,49.94439780712128,15.453165769577026
2.2,-51.8521485844298,-9.468322894492477,-8.028188364468287,-51.48585220532135,-25.86240641604074,3.299401082611982,-0.044500351284901304,99.94555494115814,101.99199057096666,-5.55,-0.4021517469226081,5.470696811262247,-0.8839629227757095,-0.3102177424999082,25.220206379890442,49.98839795589447,49.262258410453796
2.3,-48.97839599539387,-9.17507396770822,-8.12650451733143,-48.78834075329031,-22.054849030061746,3.449315646978828,0.05258913887723356,99.9404934026619,101.9654233041696,-5.575,-0.4107835341133359,5.50440034003097,-0.8860747225674062,-0.34090526725338705,80.6348443031311,49.997010827064514,30.923813581466675
2.4,-45.613277570628306,-8.796355540402782,-8.174287601644876,-45.60975472695837,-17.952139252064477,3.599222450386925,0.16371020354766155,99.93520699809768,101.9313714681849,-5.6,-0.4191659827119226,5.529047258560048,-0.8873205441958922,-0.3539575182844082,28.026607632637024,49.96533691883087,40.628305077552795
