step,EvalAverageReward
1000,-252.3154467111512
2000,-231.35841238330568
3000,-245.91582571721696
4000,-258.7733437572957
5000,-241.7521134483449
6000,-240.795812517173
7000,-233.54306341962896
8000,-243.8105950974722
9000,-242.01715506328463
10000,-231.70185285677022
11000,-246.54120705338556
12000,-234.01487136395116
13000,-231.3347398107172
14000,-236.1489017626272
15000,-242.8316185036439
16000,-236.20862237259445
17000,-233.68301102931363
18000,-248.32659257049528
19000,-230.61866750320215
20000,-247.22203427185212
21000,-234.88444786032727
22000,-264.2052261156412
23000,-251.38397145561635
24000,-220.3038243099964
25000,-238.57652271134452
26000,-264.28429428940024
27000,-244.2510724124624
28000,-233.03864089956173
29000,-246.6607772787758
30000,-244.24244765353427
31000,-248.639132218412
32000,-232.77912979366548
33000,-236.52870020597229
34000,-257.1725025857819
35000,-238.0625021507645
36000,-238.47252114085055
37000,-244.0732949630492
38000,-230.9742870394767
39000,-245.68714076008
40000,-251.4650443606039
41000,-238.82042333460785
42000,-247.30632673082073
43000,-257.18698299009617
44000,-235.79271123134922
45000,-251.2528586441711
46000,-233.75109257824306
47000,-245.26122280936156
48000,-241.2324380970336
49000,-243.15583627391865
50000,-245.9499958570644
51000,-234.14871677605188
52000,-235.14826532048568
53000,-225.76992582914195
54000,-237.80821213815958
55000,-245.29634315391846
56000,-242.01140688633464
57000,-238.06025161234425
58000,-234.0958364226267
59000,-236.76661519394187
60000,-250.44053559586678
61000,-246.15718389265317
62000,-229.95526458130266
63000,-224.60288149032357
64000,-239.8775065686663
65000,-250.81051866223294
66000,-250.81154562679336
67000,-236.92442932691065
68000,-238.218167888266
69000,-240.61798835581286
70000,-231.7967739692777
71000,-251.63364006533797
72000,-227.6612211344408
73000,-235.63872838543884
74000,-236.99574307568395
75000,-246.39567243154698
76000,-244.64551561986565
77000,-243.09948186767255
78000,-236.4576658652517
79000,-248.06538072292497
80000,-232.19476656778798
81000,-243.9007722117501
82000,-234.3721918934854
83000,-244.25530190695636
84000,-242.20543385729928
85000,-234.64162767224425
86000,-238.92923263089773
87000,-253.9774144117357
88000,-249.2279988187466
89000,-247.81466712711614
90000,-246.4682252909562
91000,-250.1805738073007
92000,-232.76024856337898
93000,-238.99174696465138
94000,-256.99116326660925
95000,-237.34650087105965
96000,-244.58016304324897
97000,-226.7413522330673
98000,-240.1734796595585
99000,-248.27148841738335
100000,-244.02806898060922
101000,-234.2951690972781
102000,-252.58533892586496
103000,-240.1149455173877
104000,-225.64063150094984
105000,-245.85732610317996
106000,-246.63798972361332
107000,-245.30167064200623
108000,-241.2131842191789
109000,-244.6878374948654
110000,-255.3238655876672
111000,-231.1863349905394
112000,-246.5648387636782
113000,-245.43494686955765
114000,-239.6920764552836
115000,-245.2998003373337
116000,-248.61539991556737
117000,-228.2483255285541
118000,-238.92524750750198
119000,-236.1246412093319
120000,-238.7149754659071
121000,-242.8132048365169
122000,-242.6109691244862
123000,-250.35585708621997
124000,-227.39433105031526
125000,-231.82821210473412
126000,-240.67472615508603
127000,-262.9455260949781
128000,-242.78883304561856
129000,-223.44521821548355
130000,-244.89166953297268
131000,-240.48820386200737
132000,-240.25212110748845
133000,-231.89529349550656
134000,-244.68301491683536
135000,-237.06531217886376
136000,-226.11804173755985
137000,-232.4094511495749
138000,-221.0162646204683
139000,-237.70202529037337
140000,-235.5745783888912
141000,-239.67803175407417
142000,-246.71962173428878
143000,-240.25652915949155
144000,-246.32788489523924
145000,-258.49095103235715
146000,-245.6063582304083
147000,-241.4448985607698
148000,-250.23813789987338
149000,-250.21235772132354
150000,-243.0899680002607
151000,-241.29141530896362
152000,-244.84189223004574
153000,-236.62688557057805
154000,-245.1010133141996
155000,-239.78141607210554
156000,-261.8807249190047
157000,-236.45537687167445
158000,-246.1699661022858
159000,-243.0084653211317
160000,-238.4116869809572
161000,-243.74547017824753
162000,-259.83135816255304
163000,-243.73362339718975
164000,-230.93785348086095
165000,-235.1794778315171
166000,-229.15330307853046
167000,-244.47312126197534
168000,-238.69368335058803
169000,-260.18008166080335
170000,-251.45363434578286
171000,-229.53086257338245
172000,-232.16426356635264
173000,-248.65734995692884
174000,-227.33729166212407
175000,-248.38710549758747
176000,-256.91602490693396
177000,-219.26871319060848
178000,-257.2653007554035
179000,-246.37722325530916
180000,-238.99492656142675
181000,-238.3763454946321
182000,-236.75165052752132
183000,-243.0532821819042
184000,-232.2824932059525
185000,-247.84931831871518
186000,-235.77387698682082
187000,-245.3498103411887
188000,-230.32526613386017
189000,-256.2912813435843
190000,-238.3374881237593
191000,-243.51609345645323
192000,-237.16545533795187
193000,-251.524010801013
194000,-248.29930102293397
195000,-235.3028071463932
196000,-236.01313156125156
197000,-248.10150176092233
198000,-244.94012291632043
199000,-238.10060085945935
200000,-245.59877812185064
201000,-242.6208316448392
202000,-258.65031300626566
203000,-230.8929989926903
204000,-261.62118756798213
205000,-249.2816497261043
206000,-250.5386866264542
207000,-248.4515420276341
208000,-266.12702061659417
209000,-265.37198919182805
210000,-275.84079380635904
211000,-208.75270237718746
212000,-195.57772817405416
213000,-151.40085758849665
214000,-142.31999547696785
215000,-124.00569674663544
216000,-135.16671405115216
217000,-110.09990020714766
218000,-114.77944530743791
219000,-107.29926817228605
220000,-90.65040590299706
221000,-87.91526111145498
222000,-74.56014340672468
223000,-49.918508708335175
224000,-68.90768565743168
225000,-51.86113711437687
226000,-80.02080910227303
227000,-37.89616731493459
228000,-72.37557834679271
229000,-38.6619311215206
230000,-52.031235395539476
231000,-45.04158008585872
232000,-51.26024707690594
233000,-68.29433982423562
234000,-65.79864979197822
235000,-58.72240410486364
236000,-40.74785441927473
237000,-36.91120882283741
238000,-24.56386018349433
239000,-28.928526762921535
240000,-20.873742794892188
241000,-34.02956052646999
242000,-20.3931902980343
243000,-25.659827439226667
244000,-19.126751857495723
245000,-18.176819242479535
246000,-14.24468636212126
247000,-12.493953600628348
248000,-14.479017682118448
249000,-13.684095656408573
250000,-14.683160438672036
251000,-13.483970704898525
252000,-18.511575271025407
253000,-15.917716703406459
254000,-14.396270856689345
255000,-18.059177543510394
256000,-15.035071354276122
257000,-14.289139679253873
258000,-11.166826599150296
259000,-10.17850725611321
260000,-13.586418604122073
261000,-14.294460816231773
262000,-11.141615124755942
263000,-12.311997888722475
264000,-10.588071081305332
265000,-13.92011714460667
266000,-15.020943608019042
267000,-15.247287149743574
268000,-16.440495021922477
269000,-16.85157285233442
270000,-16.386803172640562
271000,-14.390262651375801
272000,-17.505173602572462
273000,-11.744791143049861
274000,-12.069312963216698
275000,-15.79816047822212
276000,-13.452109268538504
277000,-14.11324629125357
278000,-12.631499566646976
279000,-10.95037297556779
280000,-14.999215207438777
281000,-11.648853186031136
282000,-9.935050230133603
283000,-9.89421225207939
284000,-9.549108895741176
285000,-10.753257358510705
286000,-9.31421254842282
287000,-9.09076593640565
288000,-8.166158181375263
289000,-8.332221176593357
290000,-7.309909516326362
291000,-6.883507748331226
292000,-7.325299182036531
293000,-8.625833091829886
294000,-9.048468038197923
295000,-6.918577750089701
296000,-7.293849842025769
297000,-6.807549417696019
298000,-7.125598666611717
299000,-6.526420819822265
300000,-6.820872838150511
301000,-8.912752329759547
302000,-6.664023778999935
303000,-6.951756940700894
304000,-7.195987327324353
305000,-8.088859300735352
306000,-8.415223303254379
307000,-7.359602039589552
308000,-6.884198053138059
309000,-7.234115908046877
310000,-6.742895387841685
311000,-7.066862943905687
312000,-8.1676075304079
313000,-7.206838830729853
314000,-7.475842326675069
315000,-6.8094170410652755
316000,-6.832178459103561
317000,-7.654531623945975
318000,-7.773183187863873
319000,-7.930900058662698
320000,-7.928787052585747
321000,-6.972334950678207
322000,-7.806311700343905
323000,-6.869017188000379
324000,-7.420533420389494
325000,-7.9683561834057155
326000,-7.449922032964279
327000,-6.508505459963236
328000,-6.5969005036191986
329000,-6.440864381817052
330000,-5.988298657289438
331000,-6.6923107720125925
332000,-6.784240249269959
333000,-6.589435468479328
334000,-7.478883340982937
335000,-7.237379199210865
336000,-7.841466307699344
337000,-8.385569351820477
338000,-9.089780209262184
339000,-8.556199103102166
340000,-9.72440261598951
341000,-9.402440092806092
342000,-7.366268526907187
343000,-7.368564007184712
344000,-7.44250652413421
345000,-7.184282393767559
346000,-6.573376602013691
347000,-6.980043154664633
348000,-7.680270193409141
349000,-6.487357834281328
350000,-7.546087388875887
351000,-7.15546370461136
352000,-7.05329611019814
353000,-6.342569135035754
354000,-7.862965834402592
355000,-8.537477685342303
356000,-7.706991039114959
357000,-8.461361890003829
358000,-6.866993619171238
359000,-6.95133778725773
360000,-6.438552297026524
361000,-6.420850496531853
362000,-6.812151338135773
363000,-7.249145536189083
364000,-6.706185835732322
365000,-7.833512487181875
366000,-7.385750250195559
367000,-7.786756448747814
368000,-7.381812890517099
369000,-7.184940527427116
370000,-7.069651844745008
371000,-6.956521462466318
372000,-7.435449331725287
373000,-7.313931792403034
374000,-7.202918725250837
375000,-7.146008238933159
376000,-6.726262742125506
377000,-6.646608625572019
378000,-6.700987019436371
379000,-5.930945823230166
380000,-6.758075139790691
381000,-5.9827852210399115
382000,-6.926150854847978
383000,-6.49856221956504
384000,-6.491608793473129
385000,-6.60786895180446
386000,-6.547799810317647
387000,-6.171597607080471
388000,-6.08768801460489
389000,-5.923845769406798
390000,-6.304837485936344
391000,-5.944008927898742
392000,-5.993309857489569
393000,-6.222515608044913
394000,-6.304845827478269
395000,-6.301714406724554
396000,-6.796441096881272
397000,-6.709242004537531
398000,-5.966182726149624
399000,-6.146574229121375
400000,-6.1860215280295865
401000,-6.128467095796534
402000,-6.555364385565069
403000,-6.2611176959000705
404000,-5.987499476264887
405000,-6.029124705765377
406000,-5.9190704184371725
407000,-6.319296107971325
408000,-6.370963020176868
409000,-6.390007098440356
410000,-6.258996846161134
411000,-6.546058590076614
412000,-6.732467556107143
413000,-6.614497415242444
414000,-6.618040381497669
415000,-6.000673525659351
416000,-5.773593591730838
417000,-5.925602507828076
418000,-5.939515209078747
419000,-6.070838033401544
420000,-6.46860444300208
421000,-5.957992678344802
422000,-5.742488749496209
423000,-6.160972042821753
424000,-5.83306277125944
425000,-6.384343287074656
426000,-6.123231949678169
427000,-5.875817472455418
428000,-6.357236458386386
429000,-6.2621103178894035
430000,-5.684373292462774
431000,-5.495515573664138
432000,-5.584301346839251
433000,-5.928758413379639
434000,-6.100803565357707
435000,-5.552961085575505
436000,-5.608939608376544
437000,-6.0010154774561935
438000,-5.97724363847904
439000,-5.520837185354136
440000,-5.732264695251045
441000,-5.707905532378323
442000,-5.560110709431598
443000,-5.261738995245194
444000,-5.210049206107627
445000,-5.36332451496763
446000,-5.347317499707832
447000,-5.1702287115548415
448000,-5.100702637517846
449000,-5.195170062207437
450000,-4.942588359667512
451000,-5.345407458825533
452000,-5.09213193728892
453000,-4.944207768882927
454000,-5.12912291481898
455000,-4.771906624894454
456000,-4.86529582972815
457000,-4.874298053290436
458000,-5.140120425786782
459000,-5.353553368974332
460000,-5.205648891318583
461000,-4.964582045910947
462000,-5.305819718292696
463000,-5.158210095556024
464000,-5.092715317788006
465000,-5.126523203075696
466000,-5.171495733202272
467000,-4.911030171734136
468000,-5.126541933506451
469000,-5.234936192852244
470000,-5.058227550732212
471000,-5.0699673842166515
472000,-5.067472008356383
473000,-5.124123778578626
474000,-5.126419130903367
475000,-5.063717885262611
476000,-5.3941161352890425
477000,-5.170354346796731
478000,-5.149334865215311
479000,-4.808058192151589
480000,-4.9922973723436765
481000,-4.844636524171067
482000,-5.028019746376785
483000,-4.885979640649769
484000,-4.959056204051064
485000,-5.198172815876469
486000,-5.208333050813505
