step,EvalAverageReward
1000,-255.9859831494961
2000,-263.8272094660654
3000,-273.9982844146773
4000,-264.7513773231478
5000,-250.1856460826923
6000,-266.2370072914076
7000,-258.7533443964994
8000,-264.4448543285566
9000,-262.57217462610816
10000,-261.3123487337231
11000,-263.6516225838874
12000,-271.3276854410648
13000,-248.78336977922078
14000,-256.71977910183875
15000,-269.2429523316226
16000,-260.32619498259345
17000,-261.6105839403184
18000,-255.83412303546075
19000,-264.02176246829856
20000,-269.25652644431
21000,-266.076629160297
22000,-257.4716714741477
23000,-254.56982382470022
24000,-260.57765189708954
25000,-256.76476591020133
26000,-263.24235465515943
27000,-258.82737317683893
28000,-258.6603955164691
29000,-265.2665876957844
30000,-264.926131126606
31000,-258.1399838636288
32000,-265.696814298867
33000,-268.27960591897124
34000,-258.15928729148266
35000,-248.7011913726998
36000,-264.8411683369171
37000,-268.30446432686625
38000,-264.0915810085088
39000,-259.83863587060216
40000,-270.38353135539177
41000,-263.8046986097783
42000,-262.30150088923847
43000,-260.4516401675734
44000,-263.54064129926286
45000,-261.27676157674875
46000,-259.76916114325223
47000,-267.83145098083986
48000,-264.32572897654217
49000,-257.7144859620472
50000,-261.3699309484756
51000,-266.9004500759182
52000,-254.18578160815605
53000,-270.69195251432177
54000,-271.43211305683167
55000,-256.8703703843017
56000,-266.6843202563307
57000,-263.88402263809655
58000,-265.162560982543
59000,-255.33893541946077
60000,-257.6328478369251
61000,-268.2209238569586
62000,-258.49550599737364
63000,-265.9758275437322
64000,-263.63889547397196
65000,-260.7112684985153
66000,-274.2514869327413
67000,-260.91601549285025
68000,-265.57641986035475
69000,-252.24466251423365
70000,-259.9487565714745
71000,-263.0070102090259
72000,-276.3056765600322
73000,-260.66041137605
74000,-241.06517433381015
75000,-263.6967382244359
76000,-263.82703562766784
77000,-263.4421779628055
78000,-260.92103409817
79000,-260.90175762557874
80000,-249.38743143998963
81000,-263.1848658595275
82000,-264.9264359693882
83000,-266.7854077381049
84000,-261.152204939567
85000,-268.3618196494657
86000,-246.1631684743448
87000,-268.73190194301475
88000,-270.36438567617637
89000,-254.06298793388706
90000,-269.3014976430027
91000,-269.5209667513082
92000,-272.1525497496238
93000,-260.5010129959583
94000,-252.2159955719566
95000,-253.4607012570989
96000,-264.75528843727915
97000,-260.32883498422194
98000,-261.3033017026851
99000,-268.3402409546542
100000,-263.4036877172117
101000,-256.38021797473476
102000,-261.35883725655447
103000,-261.33760208420887
104000,-245.6041138723496
105000,-257.4579209897735
106000,-247.73660241637057
107000,-262.81759058378464
108000,-259.03296245591844
109000,-247.65157676626436
110000,-254.9633818821795
111000,-260.0034157224883
112000,-267.75234503099534
113000,-261.7485000628065
114000,-247.25164792678015
115000,-271.276881398468
116000,-253.05456687962828
117000,-258.8190594792865
118000,-253.77118868156725
119000,-261.6753371392594
120000,-262.40933582195714
121000,-258.1357436358185
122000,-263.4901376689671
123000,-264.77203542586994
124000,-260.29899319616914
125000,-256.8562547066579
126000,-252.17599540610826
127000,-260.0812793353102
128000,-251.5737184914792
129000,-265.983881477321
130000,-259.6585096308409
131000,-263.44319858279977
132000,-264.5996863629997
133000,-262.6967081464919
134000,-260.3399455583012
135000,-260.7578901545116
136000,-261.3507387767005
137000,-260.4474397835675
138000,-259.11699798172447
139000,-263.41334526661706
140000,-268.61936408737967
141000,-262.9366685539443
142000,-263.69490885918844
143000,-272.91103583894244
144000,-259.97488085604147
145000,-268.9924008649433
146000,-266.3738162152108
147000,-254.77823640776373
148000,-265.7248174348943
149000,-249.02802726829322
150000,-261.8142710922908
151000,-245.83597670211185
152000,-262.0809428500112
153000,-249.43084378106838
154000,-263.147875088814
155000,-259.25266463865364
156000,-272.496347386879
157000,-264.3052041804823
158000,-258.9052579280841
159000,-261.2646289260252
160000,-254.84331073027198
161000,-262.7796213981468
162000,-266.2671754684528
163000,-259.9071452737778
164000,-269.8112113084653
165000,-260.94668761301944
166000,-256.77069160397275
167000,-261.98563358972336
168000,-264.2354732317399
169000,-261.4625008772259
170000,-261.2498477419569
171000,-250.48615978116248
172000,-257.56526017059076
173000,-256.68604743889597
174000,-271.33016474070666
175000,-263.57254268059836
176000,-260.5382510011983
177000,-266.3937443731409
178000,-254.30864209421262
179000,-251.76902390376205
180000,-265.8772044132415
181000,-265.5115932040884
182000,-256.08411245205446
183000,-262.79356498133114
184000,-252.14878721083173
185000,-255.115008391666
186000,-254.52128867237093
187000,-269.8970117947077
188000,-261.2614477389901
189000,-252.9297291206928
190000,-255.39264895069363
191000,-269.31126708499846
192000,-253.46991811780413
193000,-264.2289579075737
194000,-254.47393418499496
195000,-256.2248702469593
196000,-261.83901240725856
197000,-270.89834044385606
198000,-262.69836736215996
199000,-266.5476360674716
200000,-265.15909444844215
201000,-243.07013448558513
202000,-244.04111562887684
203000,-239.01110039767468
204000,-246.65220665244678
205000,-248.25105090980847
206000,-242.36567542112334
207000,-224.01508223058403
208000,-220.6495233799714
209000,-218.85903199631684
210000,-215.76232956023827
211000,-217.4698304145034
212000,-236.32112562797528
213000,-240.41703417006747
214000,-357.462265755138
215000,-243.67072195860447
216000,-237.26659661213617
217000,-280.87306486113835
218000,-254.8660354570928
219000,-219.8551039899283
220000,-195.1990178749399
221000,-146.49319863419262
222000,-114.65757464306864
223000,-82.25876900018405
224000,-155.43162904912148
225000,-92.42929765891819
226000,-141.5926435007573
227000,-119.23302406817918
228000,-133.33421074052006
229000,-105.21693409451898
230000,-152.50239228778582
231000,-117.71312627294829
232000,-102.63158102389794
233000,-112.10963029678798
234000,-117.70988301476056
235000,-111.29533507706142
236000,-103.7934892457602
237000,-101.0380791543017
238000,-114.37996737233348
239000,-58.07239233829796
240000,-55.84383597033586
241000,-39.94809523975929
242000,-49.964002249231534
243000,-65.44114114364393
244000,-27.96678034363805
245000,-34.9979906255961
246000,-37.22695035890115
247000,-39.364321653768485
248000,-38.44958363205149
249000,-57.136656519923974
250000,-36.10480597924638
251000,-28.49173944607468
252000,-48.80302663895785
253000,-27.369719530830473
254000,-30.19578615891722
255000,-28.204484077235588
256000,-36.94749370030419
257000,-32.44600269898011
258000,-31.47223429459599
259000,-27.8856945019267
260000,-26.85785133890251
261000,-20.492034219361962
262000,-26.756739967241977
263000,-32.4589767268656
264000,-30.280141183176134
265000,-17.034008122139277
266000,-15.638283135390001
267000,-23.03550572461324
268000,-19.396161960396796
269000,-26.45913811204371
270000,-20.03888622217277
271000,-17.041541170856554
272000,-15.23682013706387
273000,-12.843115790026374
274000,-13.902334681271833
275000,-10.84210535431367
276000,-16.067881780781043
277000,-14.246130991681028
278000,-10.028782265766164
279000,-11.494127398091152
280000,-10.354248338969736
281000,-11.006292199265758
282000,-11.607129438543042
283000,-9.74953152522685
284000,-10.17308524033034
285000,-9.441758578072474
286000,-9.088381986682235
287000,-10.524766479918929
288000,-9.320839682255675
289000,-9.711248635937627
290000,-8.248954415920826
291000,-9.380723788256175
292000,-10.215116218231845
293000,-9.136790208621793
294000,-9.197466413082982
295000,-9.696534550945362
296000,-10.561196151549384
297000,-11.230447743120198
298000,-11.29477547932773
299000,-10.564778914703254
300000,-11.03708369610546
301000,-9.300500936591074
302000,-11.014774015735638
303000,-9.1890301073545
304000,-7.177548780834646
305000,-6.995914657282052
306000,-8.415009772523357
307000,-8.355455282868327
308000,-7.750979826270428
309000,-7.291127972587789
310000,-8.808366098687213
311000,-7.52739054545965
312000,-7.217710374157922
313000,-8.585063185680209
314000,-7.679080788610461
315000,-7.3488855650967455
316000,-7.790466600057758
317000,-8.294142906452041
318000,-7.831983322637045
319000,-7.747395010940528
320000,-7.142378905416865
321000,-7.068366034402229
322000,-8.155173400032535
323000,-7.106322418751414
324000,-6.888965261940653
325000,-6.87675016305962
326000,-6.628265692930934
327000,-6.468812288058584
328000,-6.460483439541015
329000,-7.463247193322118
330000,-9.461733955601405
331000,-7.326040876683999
332000,-8.568794809331248
333000,-7.742946578194767
334000,-7.355166537372081
335000,-7.1702263114124305
336000,-7.617765891882092
337000,-7.5654481172323855
338000,-8.137468940763396
339000,-8.098815150126518
340000,-7.991161240026526
341000,-7.627552153241089
342000,-7.747911694221988
343000,-9.04392799889759
344000,-7.489119877271925
345000,-7.091678869334248
346000,-7.558286714810299
347000,-7.226302743174645
348000,-7.4258002503341505
349000,-7.851604995904836
350000,-7.208909317076957
351000,-7.982932332598696
352000,-7.663279294037343
353000,-8.60471896533444
354000,-8.367097762308644
355000,-8.315445555624176
356000,-9.4645931935512
357000,-8.839566565344722
358000,-8.838014587716199
359000,-9.138557933438623
360000,-9.404682514780687
361000,-9.830899811984647
362000,-8.872044798028295
363000,-8.440398462428814
364000,-8.609926333329728
365000,-9.415336060180836
366000,-108.98925975615543
367000,-27.361311077268322
368000,-101.61521538822294
369000,-113.8677235614387
370000,-102.89366014002273
371000,-8.059684514052098
372000,-8.239911201003073
373000,-7.39986685091457
374000,-110.52964355940446
375000,-6.876247234942349
376000,-6.637877830296719
377000,-100.52034394718532
378000,-113.61384466410709
379000,-105.20941202062461
380000,-103.55228221631285
381000,-116.07614814276235
382000,-116.9873198227333
383000,-109.70345874568686
384000,-103.16833541946235
385000,-24.510857695617478
386000,-28.15656714849599
387000,-16.62445850285577
